actor/decision_point_first_token_entropy_coeff,actor/entropy_loss,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/loss,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,alfworld/valid_action_count/max,alfworld/valid_action_count/mean,alfworld/valid_action_count/min,alfworld_penalty/invalid_action_count,alfworld_penalty/no_action_count,alfworld_penalty/repeated_action_count,alfworld_penalty/thinking_truncated_no_action_count,alfworld_termination/done_count,alfworld_termination/max_steps_count,alfworld_termination/no_action_count,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/rewards/variance,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,perf/mfu/actor,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/ref,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,val-aux/alfworld/reward/mean@1,val-core/alfworld/acc/mean@1
0.0,0.7536468505859375,0.18069927394390106,0.001,0.0,0.07245296984910965,1e-06,0.1842392113125115,0.008309879276917821,0.11015935125760734,0.2608733449719454,33.0,10.09375,0.0,189.0,25.0,27.0,0.0,5.0,2.0,25.0,1.4965273141860962,-0.042066384106874466,-1.499993920326233,1.4965273141860962,-0.042066384106874466,-1.499993920326233,1.0,-4.425000190734863,-7.099999904632568,5.674375057220459,1.0,-4.425000190734863,-7.099999904632568,43725.0,43318.0,47256.0,43521.5,39787.0,7469.0,0.0,44.29046237580483,982.6381948944181,87043.0,0.0,1047.0,694.875,489.0,0.0,0.0,7795.0,2025.21875,78.0,0.0,7795.0,2025.21875,78.0,1.0,5.8515781748485605e-05,5.696319079290053,0.8616754155403468,6.161825018644894,0.005093389190733433,0.03516887687146664,0.01201640849467367,0.007218378596007824,348.9014416253194,110.93528440548107,7.06962525844574,-1.0,-1.0,-1.0,0.015764988027513027,348.9014416253194,-1.0,885.0,7795.0,4.6018377700820565,4.6018377700820565,0.8562916894443333,0.0,0.17056525498628616,369.16135057155043,75.0028131948784,2.7677975594997406e-05,,0.0003080638125538826,982.6381948944181,4.326179623603821e-05,,536.3437350979075,1.8660001615062356,0.0,1.0,,
0.0,0.78515625,0.22318565845489502,0.0010000000000000002,0.0017820149946601305,-0.030871249735355377,1e-06,0.19104720169276584,0.00777237332225138,0.008382104371335686,0.26738643390583056,25.0,8.1875,0.0,206.0,27.0,4.0,3.0,4.0,1.0,27.0,1.499997854232788,0.06035129353404045,-1.2558234930038452,1.499997854232788,0.06035129353404045,-1.2558234930038452,0.20000000298023224,-4.75,-6.400000095367432,3.403125047683716,0.20000000298023224,-4.75,-6.400000095367432,42884.0,42475.0,43922.0,42679.5,41437.0,2485.0,0.0,49.16051362934964,868.1662751082331,85359.0,0.0,1046.0,624.5,473.0,0.0,0.0,6651.0,2042.96875,99.0,0.0,6651.0,2042.96875,99.0,2.0,5.097021450079862e-05,4.810537919345139,0.7832912483966328,5.678219847099358,0.004350766539573669,0.03264180198311806,0.010845509736100212,0.007775485515594482,293.18152530957013,103.11805642489344,5.471341815777123,-1.0,-1.0,-1.0,0.012958330102264881,293.18152530957013,-1.0,1046.0,6651.0,3.2015644125640392,3.2015644125640392,0.5722094659868162,0.0,0.1840822035446763,314.48891647718847,66.86095767188817,2.5958754122257233e-05,,3.837794065475464e-05,868.1662751082331,4.4558197259902954e-05,,484.6871679285541,1.876908247359097,0.0,2.0,,
0.0,0.7638168334960938,0.22888946533203125,0.0010000000000000002,0.001559227340749203,-0.16514894366264343,1e-06,0.17388202299896097,0.007222010710393079,-0.126938068511663,0.23135363187299976,33.0,13.84375,0.0,314.0,24.0,10.0,2.0,2.0,6.0,24.0,1.4980502128601074,0.20897895097732544,-0.9646117687225342,1.4980502128601074,0.20897895097732544,-0.9646117687225342,0.8999999761581421,-4.700000286102295,-7.0,4.006875038146973,0.8999999761581421,-4.700000286102295,-7.0,62330.0,62053.0,69098.0,62191.5,55285.0,13813.0,0.0,43.48087205764843,1430.3185988897458,124383.0,0.0,1087.0,767.0,562.0,0.0,0.0,8065.0,3119.96875,92.0,0.0,8065.0,3119.96875,92.0,3.0,4.9013580633080204e-05,3.9678157559042195,0.9912577172398349,7.306472041829016,0.006096456199884415,0.15935434959828854,0.01685004125465639,0.008891435340046883,376.7542058676481,159.57168436030042,5.12743264157325,-1.0,-1.0,-1.0,0.012319467030465603,376.7542058676481,-1.0,633.0,8065.0,1.8115102918818593,5.2050311751663685,1.3544726248364896,0.0,0.14416870847344398,396.14275725372136,123.29560864344239,3.1810253858566284e-05,,5.048234015703201e-05,1430.3185988897458,4.3062493205070496e-05,,908.8009119788185,1.8763801772147417,0.0,3.0,,
0.0,0.788482666015625,0.11827319115400314,0.001,0.0014174409693623602,0.27549171447753906,1e-06,0.19860222272462014,0.0084092493017317,0.314910423476249,0.2404140048669745,33.0,9.75,0.0,217.0,25.0,6.0,3.0,5.0,2.0,25.0,1.4886994361877441,-0.2711489796638489,-1.3752599954605103,1.4886994361877441,-0.2711489796638489,-1.3752599954605103,0.8999999761581421,-4.446875095367432,-7.300000190734863,6.094990253448486,0.8999999761581421,-4.446875095367432,-7.300000190734863,49873.0,49776.0,51988.0,49824.5,47661.0,4327.0,0.0,46.109943440888536,1080.558688255027,99649.0,0.0,1060.0,753.75,492.0,0.0,0.0,6858.0,2360.28125,103.0,0.0,6858.0,2360.28125,103.0,4.0,6.90989498588511e-05,4.395664009069063,0.8990547817026698,6.5924513618762255,0.0068856412544846535,0.014116717502474785,0.010472399910213426,0.0074799442663788795,308.885973055847,113.9902955457801,5.625274548307061,-1.0,-1.0,-1.0,0.013989887200295925,308.885973055847,-1.0,557.0,6858.0,1.7354608112946153,5.341392824426293,0.9397067114186939,0.0,0.13641279749572277,332.0001069409773,89.58990994188935,3.466010093688965e-05,,4.491675645112991e-05,1080.558688255027,6.191432476043701e-05,,656.931185759604,1.849659244529903,0.0,4.0,,
0.0,0.7682113647460938,0.2222713679075241,0.0010000000000000002,0.0016733092418235174,-0.1457565724849701,1e-06,0.1581336876385176,0.006628234552578157,-0.10734568221960217,0.23327686248166876,39.0,10.625,0.0,225.0,24.0,1.0,1.0,5.0,3.0,24.0,1.4953925609588623,0.18571209907531738,-1.3198214769363403,1.4953925609588623,0.18571209907531738,-1.3198214769363403,0.8999999761581421,-4.299999713897705,-6.400000095367432,5.320624828338623,0.8999999761581421,-4.299999713897705,-6.400000095367432,51281.0,50638.0,57070.0,50959.5,44849.0,12221.0,0.0,44.73415126708298,1139.163224440068,101919.0,0.0,1091.0,801.625,470.0,0.0,0.0,8454.0,2383.34375,122.0,0.0,8454.0,2383.34375,122.0,5.0,5.400414475641962e-05,5.25544944626796,0.8757904040888332,6.3483547263783064,0.005504048429429531,0.06827235780656338,0.01312908370164223,0.0077997175976634026,370.07375696115196,120.85764187047607,6.82430066447705,-1.0,-1.0,-1.0,0.01349666342139244,370.07375696115196,-1.0,882.0,8454.0,2.65376599971205,5.127655325457454,1.0359765872417483,0.0,0.1604201653972268,400.8173629185185,89.2596821943298,5.369260907173157e-05,,4.538055509328842e-05,1139.163224440068,4.9493275582790375e-05,,647.0179653577507,1.8579590832814574,0.0,5.0,,
0.0,0.793121337890625,0.22943395376205444,0.0010000000000000002,0.0018745469087662059,-0.1454138159751892,1e-06,0.1517001839442981,0.0052933363421551385,-0.10576857428532094,0.24262553433475376,31.0,9.90625,0.0,254.0,26.0,2.0,1.0,1.0,5.0,26.0,1.4984958171844482,0.19172674417495728,-1.499996542930603,1.4984958171844482,0.19172674417495728,-1.499996542930603,0.4000000059604645,-4.831249713897705,-6.300000190734863,2.2377734184265137,0.4000000059604645,-4.831249713897705,-6.300000190734863,51594.0,51458.0,58491.0,51526.0,44561.0,13930.0,0.0,44.15352373060772,1166.9736783495173,103052.0,0.0,1060.0,763.625,500.0,0.0,0.0,6799.0,2456.75,85.0,0.0,6799.0,2456.75,85.0,6.0,6.158679151997287e-05,4.271853583176066,0.9651258289151011,7.080030455928389,0.006346642039716244,0.11073506809771061,0.015237904095556587,0.006854803301393986,308.85118310246617,122.30510329423123,4.34930070862174,-1.0,-1.0,-1.0,0.01402139849960804,308.85118310246617,-1.0,849.0,6799.0,3.3356225499883294,4.043380226008594,1.102379394811578,0.0,0.13843879848718643,335.8360412949696,99.458146921359,3.061629831790924e-05,,3.749039024114609e-05,1166.9736783495173,8.25691968202591e-05,,729.6112985443324,1.8824589308351278,0.0,6.0,,
0.0,0.7404327392578125,0.1514355093240738,0.0010000000000000002,0.0015654705907763855,0.3008454442024231,1e-06,0.1803049494316311,0.00695431186345798,0.3378597745904699,0.24112179851838034,28.0,9.34375,0.0,220.0,23.0,0.0,2.0,8.0,1.0,23.0,1.4401637315750122,-0.2934831976890564,-1.499984860420227,1.4401637315750122,-0.2934831976890564,-1.499984860420227,1.0,-4.03125,-7.5,8.712773323059082,1.0,-4.03125,-7.5,46131.0,45683.0,52039.0,45907.0,39775.0,12264.0,0.0,46.867687329880496,979.5021392218769,91814.0,0.0,887.0,672.375,452.0,0.0,0.0,7525.0,2196.8125,63.0,0.0,7525.0,2196.8125,63.0,7.0,4.703140456207457e-05,4.956219856539821,0.8310550114223781,6.019248599941425,0.004318141378462315,0.060702428221702576,0.012253164168214425,0.006981349550187588,329.8071393184364,106.47661274723941,3.5320398276671767,-1.0,-1.0,-1.0,0.01428892556577921,329.8071393184364,-1.0,884.0,7525.0,2.8412160938605666,3.8543721986934543,0.8337525269307662,0.0,0.173008531332016,348.4123434750363,76.30248481873423,3.562960773706436e-05,,4.647299647331238e-05,979.5021392218769,4.501640796661377e-05,,552.651290955022,1.908066675066948,0.0,7.0,,
0.0,0.7789840698242188,0.19768734276294708,0.0010000000000000002,0.001725813597886372,-0.06335602700710297,1e-06,0.1641677643247643,0.007055916485287959,-0.024410176618403057,0.2399797949011536,34.0,11.0,0.0,247.0,23.0,15.0,0.0,5.0,4.0,23.0,1.4914308786392212,0.09745151549577713,-1.4991981983184814,1.4914308786392212,0.09745151549577713,-1.4991981983184814,1.0,-4.256249904632568,-7.099999904632568,5.751210689544678,1.0,-4.256249904632568,-7.099999904632568,49372.0,49007.0,61599.0,49189.5,36780.0,24819.0,0.0,43.84264295372018,1121.95562781021,98379.0,0.0,831.0,683.25,523.0,0.0,0.0,7908.0,2391.09375,94.0,0.0,7908.0,2391.09375,94.0,8.0,3.479041108335843e-05,4.787969307128408,0.9222981901040482,6.737584310456983,0.003422645851969719,0.0903381984680891,0.015884296706644818,0.007907894439995289,343.5821026545018,117.07566238535219,5.088864243589342,-1.0,-1.0,-1.0,0.01437035109847784,343.5821026545018,-1.0,804.0,7908.0,3.530899215489626,3.5666550416499376,0.9913603030436207,0.0,0.13148478884249926,366.35147153493017,90.73477364424616,3.246776759624481e-05,,3.898888826370239e-05,1121.95562781021,4.4597312808036804e-05,,662.8368068784475,1.850570322945714,0.0,8.0,,
0.0,0.770599365234375,0.23069846630096436,0.0010000000000000002,0.0014183485468493018,-0.09374581277370453,1e-06,0.16696979046488802,0.006399846791741549,-0.055210217309650034,0.25669069618341467,33.0,11.28125,0.0,277.0,22.0,19.0,0.0,5.0,5.0,22.0,1.4708681106567383,0.13675951957702637,-1.496908187866211,1.4708681106567383,0.13675951957702637,-1.496908187866211,0.8999999761581421,-4.206250190734863,-7.199999809265137,6.105586051940918,0.8999999761581421,-4.206250190734863,-7.199999809265137,51589.0,51548.0,53341.0,51568.5,49796.0,3545.0,0.0,49.39572173672768,1043.9871751414612,103137.0,0.0,848.0,578.875,477.0,0.0,0.0,7241.0,2644.15625,107.0,0.0,7241.0,2644.15625,107.0,9.0,3.33948903924925e-05,3.884630812201471,0.8274629515775493,6.08486135529239,0.0034442488104104996,0.015091515146195889,0.010228630708297715,0.007288501597940922,320.042907981202,125.69945117720636,4.818787564523518,-1.0,-1.0,-1.0,0.011835557408630848,320.042907981202,-1.0,524.0,7241.0,1.3661647606641054,2.157333167269826,0.6545641601260286,0.0,0.1346497517079115,328.69026691280305,85.3420464368537,2.7192756533622742e-05,,3.714580088853836e-05,1043.9871751414612,4.1987746953964233e-05,,627.5743456007913,2.1978195616975427,0.0,9.0,,
0.0,0.7588367462158203,0.14210420846939087,0.0010000000000000002,0.001972415541047212,0.3008432388305664,1e-06,0.19893999964646672,0.009351546855886345,0.3387692502583377,0.23940266263051183,36.0,11.375,0.0,243.0,30.0,45.0,1.0,1.0,1.0,30.0,1.4992603063583374,-0.30005067586898804,-1.452736496925354,1.4992603063583374,-0.30005067586898804,-1.452736496925354,-5.551115123125783e-17,-5.556249618530273,-7.699999809265137,1.8968359231948853,-5.551115123125783e-17,-5.556249618530273,-7.699999809265137,52196.0,52153.0,58586.0,52174.5,45763.0,12823.0,0.0,44.39383173734441,1175.2646247949451,104349.0,0.0,901.0,680.75,505.0,0.0,0.0,7273.0,2580.15625,181.0,0.0,7273.0,2580.15625,181.0,10.0,6.8854315067695e-05,4.222316048341817,0.9279569766267474,6.806333868186826,0.007184878922998905,0.12874018400907516,0.014435688965022564,0.00790469441562891,320.9569857949391,123.73374142730609,9.474641529843211,-1.0,-1.0,-1.0,0.12874018400907516,320.9569857949391,-1.0,884.0,7273.0,2.01602890715003,2.9765320690348744,0.9766810712462757,0.0,0.19197926577180624,348.6155245313421,96.83138255402446,3.5721808671951294e-05,16.490734290331602,4.77079302072525e-05,1175.2646247949451,5.8156438171863556e-05,2360.601432991214,710.2341328114271,2.8477258244529366,0.0,10.0,-2.8821428563445806,-2.882142857142857
